sp,Family,Common Name,Vernacular Name,Status,Growth habit,Habitat,Adult Vegetative Zone,Seedling Vegetative Zone,Germination Requirements,Substrate Requirements,Soil or Nutrient Levels,Canopy Cover,Humidity Level,Other Abiotic Factors,Host Plant (if epiphytic),Pollination Mode,Seed Dispersal Mode,mode,"Other Biotic Partners (mycorrhizae, etc.)",Known Pest/Diseases,
Aidia cochinchinensis,Rubiaceae,"sumak, sumac",,native,Shrub to small tree,limestone,"Understory, Edge","Edge, forest floor",Can be grown by seeds and probably by cuttings (Raulerson & Rinehart 1991),limestone (Raulerson & Rinehart 1991),-,"""one of the first trees to colonize a disturbed area""( Vogt & Williams 2004)",-,-,-,-,Birds (Wandrag et al 2015); Såli (Pollock et al 2020),endo,Ectomycorrhiza and arbuscular myorrhizal fungi association in Rubiaceae family (Newman & Reddell 1987),Agistemus sp. mite found in domatia pits (Pemberton & Turner 1989),
Guamia mariannae,Annonaceae,"UNRESOLVED NAME (theplantlist.org), Meiogyne cylindrocarpa, fingersop",paipai,native,"Tree, small to medium","limestone, clay",Understory,Forest floor,"Can be grown from seed, or seedlings collected from the wild (Raulerson & Rinehart 1991)","Limestone soils chiefly, locally abundant, occasionally on mixed soils (Stone 1970)","Limestone soils chiefly, locally abundant, occasionally on mixed soils (Stone 1970)",-,-,-,-,-,Birds (Wandrag et al 2015); Såli (Pollock et al 2020),endo,Vesicular-arbuscular mycorrhizal association in Annonaceae family (Smith & Smith 1997),-,
Macaranga thompsonii,Euphorbiaceae,-,pengua,native,Tree,limestone,"Overstory, emergent, edge","Forest floor, edge",Can be grown by seeds and perhaps by cuttings (Raulerson & Rinehart 1991),"Limestone (Stone 1970), common in secondary forest (Raulerson & Rinehart 1991)",-,Can tolerate exposure,-,-,na,-,Birds (Wandrag et al 2015); Såli (Pollock et al 2020),endo,Ectomycorrhiza and arbuscular myorrhizal fungi association in Euphoribiaceae family (Newman & Reddell 1987),-,
Eugenia bryanii ,Myrtaceae,,,"native, E",Shrub,"limestone, strand","Edge, Cliffside","Edge, cliffside",-,Limestone (Stone 1970),-,Can tolerate exposure,-,-,-,-,Birds (Wandrag et al 2015); Såli (Pollock et al 2020); Åga (Faegre 2014),endo,Ectomycorrhiza and arbuscular myorrhizal fungi association in Myrtaceae family (Newman & Reddell 1987),-,
Eugenia reinwardtiana,Myrtaceae,Cedar bay cherry,a'abang,native,"Tree, small to medium",limestone,"Overstory, Understory","Forest floor, edge","Can be grown by seeds and probably by cuttings (Raulerson & Rinehart 1991); Seeds should be sown when they are ripe and before drying out, but dry seeds may also germinate.Germination time is generally 1 to 3 months after sowing. (Bucayu-Laurent et al 2017)",Limestone (Stone 1970),"Prefers moist, well-drained, fertile loamy soil; prefers neutral soil, pH 6.6-7.3 (Bucayu-Laurent et al 2017)",Tolerate sun and shade,-,Salt tolerant (Bucayu-Laurent et al 2017),-,Bee pollinated (Bucayu-Laurent et al 2017),Birds (Wandrag et al 2015); Såli (Pollock et al 2020); Åga (Faegre 2014),endo,Ectomycorrhiza and arbuscular myorrhizal fungi association in Myrtaceae family (Newman & Reddell 1987),"Black twig borer and ohi’a or guava rust, Puccinia psidii (Bucayu-Laurent et al 2017)",
Melanolepis multiglandulosa,Euphorbiaceae,M. multiglandulosa var. glabrata (syn),alom,native,"Tree, medium","limestone, clay, strand","Overstory, Edge","Edge, open areas",Can be grown from seed or cuttings (Raulerson & Rinehart (1991),Limestone soils or mixed argil- laceous soils in central and northern Guam (Stone 1970),Limestone soils or mixed argil- laceous soils in central and northern Guam (Stone 1970),"Can tolerate exposure, often on edges",-,-,na,-,Birds (Wandrag et al 2015); Såli (Pollock et al 2020); Åga (Faegre 2014),endo,Ectomycorrhiza and arbuscular myorrhizal fungi association in Euphoribiaceae family (Newman & Reddell 1987),-,
Morinda citrifolia,Rubiaceae,indian mulberry,lada,native,Shrub to large tree,"limestone, clay","Overstory, Understory, Edge",-,Can be grown from seed or cuttings (Raulerson & Rinehart (1991),Limestone and volcanic (Stone 1970),"Grows in a wide range of acidity levels, from acidic to alkaline (Nelson 2006)",Tolerant of full sun and shade,-,Tolerant of salt spray (Nelson 2006),na,-,Birds (Wandrag et al 2015); Såli (Pollock et al 2020); Sea drift (Stone 1970; Raulerson & Rinehart 1991); Pigs (Gawel et al 2018),endo,Ectomycorrhiza and arbuscular myorrhizal fungi association in Rubiaceae family (Newman & Reddell 1987),"Phytoseius sp. mites found in domatia hairy pockets (Pemberton & Turner,1989); Guignardia sp., 
Phyllosticta morfolia, Phyllosticta morindae, 
Physalospora morindae (Schlub 2017)",
Eugenia palumbis,Myrtaceae,,agatelang,native,Shrub to small tree,limestone,"Understory, Edge, cliffline","Forest floor, edge","Can be grown from seeds (Raulerson & Rinehart 1991); Collect mature fruits and dry them. No seed treatment needed. Germination time is 1-3 months, plant no deeper than 1.2"" (Tuquero et al 2017)",Limestone (Stone 1970),"Prefers sandy loam, neutral to slightly basic soil; pH 6.8-7.5 (Tuquero et al 2017);Total carbon, total nitrogen, calcium, net ammonification and zinc greater in native forest cover (dominated by Eugenia palumbis, Cynometra ramiflora, Aglaia mariannensis, Pisonia grandis and Psychotria mariana) than in L. leucocephala patches (Marler et al 2016)",Tolerate sun and shade,Prefers moist soil (Tuquero et al 2017),Salt and wind tolerant (Tuquero et al 2017),-,Bee pollinated (Tuquero et al 2017),"Birds (Wandrag et al., 2015); Såli (Pollock et al 2020); Åga (Faegre 2014)",endo,Ectomycorrhiza and arbuscular myorrhizal fungi association in Myrtaceae family (Newman & Reddell 1987),"Ohi’a rust, Puccinia psidii (Tuquero et al 2017)",
Psychotria mariana,Rubiaceae,aplohkateng,aploghating,native,Shrub to small tree,limestone,"Understory, Edge, Cliffside",-,Can be grown by seeds and probably by cuttings (Raulerson & Rinehart 1991); Select seeds from healthy and mature fruits from the tree or ground. Plant no deeper than twice the size of the seed.  Germination will take up to 1 month  (Laurent & Tuquero 2019c).,Common in limestone forests; tree in basalt soil was stunted and shrubby (Stone 1970),"Tolerates volcanic and limestone soils; refers neutral pH 6.5-7.5  (Laurent & Tuquero 2019c); Total carbon, total nitrogen, calcium, net ammonification and zinc greater in native forest cover (dominated by Psychotria mariana, Pisonia grandis, Eugenia palumbis, Cynometra ramiflora and Aglaia mariannensis) than in L. leucocephala patches (Marler et al 2016)","""can be a pioneer species in secondary woodlands (like tangantangan woodlands)"" (Raulerson & Rinehart 1991); Fast-growing, wood for revegetation (Laurent & Tuquero 2019c)",Prefers moderatly drained soils (Laurent & Tuquero 2019c),Moderately salt- and wind-tolerant (Laurent & Tuquero 2019c),na,-,"Birds (Wandrag et al., 2015); Såli (Pollock et al 2020); Åga (Faegre 2014)",endo,Ectomycorrhiza and arbuscular myorrhizal fungi association in Rubiaceae family (Newman & Reddell 1987),"Ungulate and insect damage, susceptible to fungal disease (Laurent & Tuquero 2019c)",
Fagraea berteroana,Gentianaceae,perfume flower-tree,,native,"Tree, small to medium",limestone,"Overstory, Understory, Edge",-,Can be grown from seed or cuttings (Raulerson & Rinehart 1991); Air-layering yields plants capable of flowering faster than through seed propagation (Whistler & Elevitch 2006),Limestone (southern mountains) (Stone 1970); limited to edge habitats on limestone (Raulerson & Rinehart 1991),"Grows on a wide variety of soils, from calcareous to lava and weathered clay; pH 5.5-6.5 (Whistler & Elevitch 2006)",Can tolerate exposure - edge habitat (Raulerson & Rinehart 1991),-,"Tolerant of drought, moderately tolerant of salt spray and wind (Whistler & Elevitch 2006)",-,Bats may assist pollination (Wiles & Fujita 1992),Birds and fruit bats (Whistler & Elevitch 2006),endo,Vesicular-arbuscular mycorrhizal association in Gentianaceae family (Smith & Smith 1997),"Common diseases reported are leaf spots, fungal root rots, and root-knot nematode. Mealybugs, scales and thirps are also common pests (Whistler & Elevitch 2006)",
Canavalia megalantha,Fabaceae,-,akangkang,native,Somewhat woody vine,limestone,"Edge, canopy",-,-,Limestone (Stone 1966),-,-,-,-,-,-,Conspecific Canavalia maritima disperses via sea drift (Nakanishi 1988) ,water,-,-,
Dendrolobium umbellatum,Fabaceae,"Desmodium umbellatum (syn), bush tick-trefoil, beggarwood",palaga hilitai,native,Tree,"ravine, coastal LS","Understory, Edge, Cliffside","Edge, Cliffside, strand",Propagated by seeds (Raulerson & Rinehart 1991),"Limestone, clay",-,-,-,-,-,-,Dispersed by fruits sticking to animal hair or clothing (Raulerson & Rinehart 1992),attach,-,-,
Pisonia grandis,Nyctaginaceae,grand devil's-claw,umumu,native,Tree,limestone,"Overstory, emergent",-,Can be grown from seed or branch cuttings (Raulerson & Rinehart (1991); broken twigs may root (Stone 1970),Common all over limestone plateu regions (Stone 1970) ,"Total carbon, total nitrogen, calcium, net ammonification and zinc greater in native forest cover (dominated by Pisonia grandis, Eugenia palumbis, Cynometra ramiflora, Aglaia mariannensis and Psychotria mariana) than in L. leucocephala patches (Marler et al 2016)",-,-,-,na,-,ectozoochory - Birds (Stone 1970),attach,"Apparently obligately ectomycorrhizal, restrictive association range (Hayward and Horton 2012)",Browsing by feral ungulates (Vogt & Williams 2004 Wiles 2005),
Ximenia americana,Olacaceae,"sour plum, false sandalwood",piut,native,Shrub to small tree,"limestone, strand","Understory, Edge, Cliffside",-,Can be grown from seed (Raulerson & Rinehart 1991),"Along coasts and occasionally on limestone plateaus (probably planted) (Stone 1970); ""edge species on limestone, is found in open disturbed fields, and along the back strand"" (Raulerson & Rinehart 1991)",-,Can tolerate exposure (Raulerson & Rinehart 1991),-,-,na,-,Favorite of fruit doves (Safford 1905; Raulerson & Rinehart 1991),endo,Vesicular-arbuscular mycorrhizal association in Oleaceae family (Smith & Smith 1997),-,
Jasminum marianum ,Rubiaceae,-,banago,native,Sprawling shrub,limestone,"Overstory, canopy",Forest floor,-,Limestone (Stone 1970),-,Often in open forests (Stone 1970),-,-,-,-,"Fleshy fruit, likely vertebrate-dispersed",endo,Ectomycorrhiza and arbuscular myorrhizal fungi association in Rubiaceae family (Newman & Reddell 1987),-,
Urena lobata,Malvaceae,hibiscus bur,-,native,Shrub,"limestone, clay","Understory, Edge",-,-,"Weedy, can tolerate disturbed substrates",-,"Found in waste areas, old fields, roadsides, vacant lots (Stone 1970). Common plant in open places (Safford 1905)",-,-,na,-,"Fruit has hooked bristles (Stone 1970), so possibly ectozoochoric",attach,Vesicular-arbuscular mycorrhizal association in Malvaceae family (Smith & Smith 1997),-,
Medinilla medinilliana,Melastomataceae,-,Gafus,native,Climbing shrub,"limestone, clay","Overstory, canopy",-,-,Commonly epiphytic (Stone 1970),-,"Can ""clothe the trunks of trees"" (Stone 1970)",-,-,-,-,"Fruit is a berry (Stone 1970), likely animal-dispersed",endo,-,-,
Dischidia puberula,Asclepiadaceae,-,-,native,Herbaceous vine,limestone,"Understory, canopy",Epiphytic,-,-,-,-,-,-,Limestone forest trees,-,Fruits never observed? (Stone 1970),NA,-,-,
Erythrina variegata,Leguminosae,"coral tree, catclaw tree",gabgab,native,Tree,limestone,"Overstory, emergent",Clifflines,Can be grown by seeds and cuttings (Raulerson & Rinehart 1991); scarified seeds will begin germinating in 5-10 days; outplant when 30 cm tall (Whistler & Elevitch 2006),Limestone (Raulerson & Rinehart 1991),Light to heavy texture soils; pH 4.5-8.0 (Whistler & Elevitch 2006),Tolerant of full sun (Vogt & Williams 2004),,Tolerant of drought; moderately tolerant of salt spray (Whistler & Elevitch 2006),-,Bats may assist pollination (Wiles & Fujita 1992),gravity,unassisted,Ectomycorrhiza and arbuscular myorrhizal fungi association in Leguminosae family (Newman & Reddell 1987),"Fruit piercing moth, Eudocima fullonia (Reddy et al 2005)",
Intsia bijuga,Leguminosae,-,"ifil, ifit",native,Tree,"limestone, strand","Overstory, emergent",-,Can be grown from seed (Raulerson & Rinehart 1991); scarification and soaking seeds for 24hrs will encourage a higher rate of germination; emerges within 7-11 days; outplant around 12 weeks after emergence at average height od 25-40 cm (Thaman et al. 2006),"""Usually a component of strand vegetation or low elevations; sometimes in or near mangrove swamps; abundant on coral limestone; also found on other soils if rocky."" (Stone 1970)","limestone and rocky soils (Raulerson & Rinehart, 1991); neutral and alkaline acidity pH 6.1-7.4+; tolerates shallow, saline, sodic, and limestone soils (Thaman et al. 2006)",Tolerates full sun and partial shade (Bucayu-Laurent et al 2017d),Grows best in climates with bimodal and uniform rainfall patterns (Thaman et al. 2006). Tolerates moderate moisture levels on Guam (Bucayu-Laurent et al 2017d).,"Tolerant of drought, waterlogging, and wind (Thaman et al 2006); highly salt- and wind-tolerant (Bucayu-Laurent et al 2017)",na,"Many pollinators, including honey bees (Thaman et al 2006); insect (bettle, fly and bee) pollinated (Bucayu-Laurent et al 2017)",gravity,unassisted,Ectomycorrhiza and arbuscular myorrhizal fungi association in Leguminosae family (Newman & Reddell 1987),"Phyllachora jurensis (Schlub 2017); psyllid Intsenisia glabrascuta feeds on new leaves, stems and flowers (Bucayu-Laurent et al 2017)",
Caesalpinia major ,Leguminosae,wait a bit,pakao,native,Woody vine,limestone,"Overstory, canopy",-,-,"""Often found in weedy secondary jungle"" (Stone 1970)",-,More prevalent in gaps (MK),-,-,-,-,"gravity, water",unassisted,Ectomycorrhiza and arbuscular myorrhizal fungi association in Leguminosae family (Newman & Reddell 1987),-,
Serianthes nelsonii,Leguminosae,Fire tree,"hayun lago, trongkon guafi","native, E",Tree,"limestone, clay","Overstory, emergent",-,"Can be grown by seeds or cuttings (Raulerson & Rinehart, 1991); Prefers shaded conditions; emergence is less than 1 week but mortality rate is high after germination (Marler, et al. 2015); Seed crops may continue to sprout over extended periods of time. Seeds at the University of Guam have been observed to germinate for up to a year after sowing. Specific seed treatments, such as boiling and wetting, have been reported to improve germination rates (FWS 1994)","Limestone, clay",Volcanic soils (Fosberg 1960),Seedlings require at least some shade (Marler and Cruz 2019),-,-,na,"Unknown, possibly bat (Wiles et al 1996)","Gravity, wind",unassisted,"T. Marler may have some data, so far has been unresponsive; likely ectomycorrhiza and arbuscular myorrhizal fungi association in Leguminosae family (Newman & Reddell 1987)","Ungulate browsing or destruction of seedlings. Weevil, moth, and unidentified larvae are known to damage seeds. Three mealybugs species (Dysmicoccus neobrevipes, D. brevipes, and Planococcus citri) and a butterfly Eurema blanda (larvae) have also been observed to feed on and damage leaves, leaf buds, branch tips, and roots of trees and seedlings.Termite damage may weaken limbs (Wiles et al 1995)",
Psychotria malaspinae ,Rubiaceae,aplokating-palaoan ,aplokating-palaoan ,"native, E",Shrub to small tree,limestone,"Understory, Edge",-,Can be grown by seeds and probably by cuttings (P. hombroniana - Raulerson & Rinehart 1991),"Exclusively in undisturbed limestone forests (Stone 1970, referring to P. hombroniana)",-,-,-,-,na,-,Likely birds,endo,Ectomycorrhiza and arbuscular myorrhizal fungi association in Rubiaceae family (Newman & Reddell 1987),-,
Hernandia labyrinthica,Hernandiaceae,UNRESOLVED NAME,,native,Tree,"Limestone, argill. ls, ravine","Overstory, emergent",-,Can be grown by seeds and perhaps by cuttings (Raulerson & Rinehart 1991),Inland and up to the summit on limestone (Stone 1970),-,Tolerate sun and shade,-,-,-,-,Original dispersal away from shores may have occurred via geological uplift of H. sonora (Stone 1967); Åga (Faegre 2014),unassisted,-,-,
Heritiera longipetiolata,Malvaceae,ufa halemtano,ufa halomtano,"native, E",Tree,limestone,"Overstory, emergent",-,Can be grown by seeds (Raulerson & Rinehart 1991),"Crevices of rough limeston, especially cliffs (Raulerson & Rinehart 1991)",-,Tolerates sun and shade,-,"Occurs in backstrand, so exhibits some salt tolerance ",-,Likely insect ,Primarily gravity ,unassisted,Vesicular-arbuscular mycorrhizal association in Malvaceae family (Smith & Smith 1997),Ungulate seedling damage and seed predation (Wiles et al 1995); possible insect seed predation (Demeulenaere et al 2018),
Ixora triantha,Rubiaceae,-,-,native,Shrub to small tree,"limestone, clay","Understory, Edge",-,Can be grown from seed or cuttings (Raulerson & Rinehart 1991),Limestone (Stone 1970),Acidic soil (Dontha et al 2015),Can tolerate some exposure (Raulerson & Rinehart 1991),-,-,na,-,Såli (Pollock et al 2020),endo,Ectomycorrhiza and arbuscular myorrhizal fungi association in Rubiaceae family (Newman & Reddell 1987),-,
Maytenus thompsonii ,Celastraceae,,luluhut,native,"Shrub to small tree, sprawler in shade","limestone, strand","Understory, Edge, Cliffside","Forest floor, edge",Can be grown from seed (Raulerson & Rinehart 1991); Collect healthy seeds from mature (split open) fruit from the tree or the ground. Scarify by cracking seed coat. Plant no deeper than twice the width of the seed. Seeds will germinate in 1-3 months (Tuquero & Laurent 2019),Limestone (Stone 1970),Prefers limestone soils; neutral to alkaline pH 6.5-8  (Tuquero & Laurent 2019),Tolerate sun and shade,Prefers well-drained sites (Tuquero & Laurent 2019),Moderately salt- and wind-tolerant (Tuquero & Laurent 2019),na,-,Såli (Pollock et al 2020),endo,-,"Mariana wandering butterfly, Vagrans egistina, larvae (last  seen in 1979) ( Tuquero & Laurent 2019)",
Phyllanthus mariannensis,Phyllanthaceae,Glochidion marianum (syn),"chosgo, abas duendes",native,Shrub to small tree,"limestone, clay","Understory, overstory , Edge. ",-,-,"""appears equally at home on limestone and on basaltic soil"" (Stone 1970)",-,"""often volunteering in old fields"" (Stone 1970)",-,-,na,-,Såli (Pollock et al 2020),endo,-,-,
Wikstroemia elliptica,Thymelaeaceae,-,gapit atayaki,native,Shrub,"limestone, clay","Edge, savanna",-,Collect seeds from mature and healthy fruit either on the shrub or the ground. Plant no deeper than twice the size of the seed. Seeds will germinate in up to 1 month (Laurent & Tuquero 2019d),Common in gappy areas on disturbed limestone (MK),Tolerant of volcanic and limestone soils rnaging from slightly acidic to alkaline; pH 6-7.5 (Lauren & Tuquero 2019d),Tolerates full sun (Laurent & Tuquero 2019d),Prefers moderatly drained soils (Laurent & Tuquero 2019d),Low salt tolerance and medium wind tolerance (Laurent & Tuquero 2019d),na,-,Såli (Pollock et al 2020),endo,Vesicular-arbuscular mycorrhizal association in Thymeleaceae family (Smith & Smith 1997),"Ungulate and insect damage, susceptible to fungal disease (Laurent & Tuquero 2019d)",
Polyscias grandifolia,Araliaceae,-,pepega,native,Shrub to small tree,limestone,Understory,"Forest floor, edge",Can be grown by stem cuttings (Stone 1970); seeds and stem cuttings (Raulerson & Rinehart 1991),Limestone exclusive (Stone 1970),-,-,-,-,na,-,Såli (Pollock et al 2020); birds,endo,Vesicular-arbuscular mycorrhizal association in Araliaceae family (Smith & Smith 1997),-,
Tabernaemontana rotensis,Apocynaceae,T. rotensis  (syn),,"native, T","Tree, small to medium",limestone,"Understory, Edge",,"Imbibing seeds and changing water every 2 hrs over a 12 hr period improved germinations; perfers full sun. Seeds should be planted within 3 months after collectionas seedling emergence is nil by 4 months  (Marler, et al. 2015); Collect mature, healthy seeds from the tree or around the tree, and dry them. Soak for 24 hours prior to sowing. Plant no deeper than twice the size of the seed. Germination may take 1-2 months  (Tuquero & Laurent 2019e)",,Prefers well drained; neutral to alkaline soil pH 7.0-8.0 (Tuquero & Laurent 2019e),Tolerates full sun and shade. Recommended for reforestation (Tuquero & Laurent 2019e).,Tolerates low moisture (Tuquero & Laurent 2019e),High salt and wind tolerance (Tuquero & Laurent 2019e),na,,Såli (Pollock et al 2020); birds,endo,Vesicular-arbuscular mycorrhizal association in Apocynaceae family (Smith & Smith 1997),"Mealy bugs attack the stem, scale insects attack the lower surface of the leaves and fruits. The snail Satsuma mercatorius eats the red pulp once the fruit splits open (Tuquero & Laurent 2019e).",
Thespesia populnea,Malvaceae,"kilulu, milo",banalo,native,"Tree, medium","strand, mangrove","Overstory, Edge, Coastal LS",-,"Can be grown from seed or cuttings (Raulerson & Rinehart (1991); Collect mature seeds. Capsules open at maturity but may also be opened by hand. Scarify seeds with sandpaper or nail clippers, or crack with a hammer without damaging the inner part of the seed. Seeds do not require soaking.Germination occurs 2-4 weeks after sowing, plant 0.5-1"" in depth (Tuquero et al 2017b)","Grows on limestone, but known as a beach or strand plant (Raulerson & Rinehart 1991), ""on sandy shores, rocky coasts, tidal inlets, estuaries, and adjacent lowlying cliffs and terraces never far from the sea"" (Stone 1970)","Tolerates saline soils, prefers neutral soils with pH 6.0-7.4 (Friday & Okano 2006)",Can tolerate exposure (Raulerson & Rinehart 1991),-,Can be used for soil stabilization or as a windbreak (Friday & Okano 2006),na,Insect or bird (Bucayu-Laurent et al 2017b),Sea drift (Friday & Okano 2006),water,Vesicular-arbuscular mycorrhizal association in Malvaceae family (Smith & Smith 1997),"Cotton stainer (Dysdercus sp.), and cotton-boll weevil (Anthonomus grandis). Also prone to Phellinus noxius. (Tuquero et al 2017b)",
Hibiscus tilliaceus,Malvaceae,Talipariti tiliaceum (syn.); sea-hibiscus,pago,native,Tree,"limestone, strand, ravine",Overstory,-,Can be grown from seed or cuttings (Raulerson & Rinehart (1991); scaridifed seeds will begin germinating in 2-4 weeks; outplant at height of 25 cm (Elevitch & Thomsom 2006),"Sandy or somewhat muddy coasts, also on limestone rocks, often at the edges of mangrove swamps, inland along estuaries, sometimes on terraces to a few hundred feet above the sea, wild or planted (Stone 1970)",Tolerates acid to alkaline soils; pH 5.0-8.5 (Elevitch & Thomson 2006),"Can tolerate exposure. ""common almost everywhere except the middle of savannas"" (Raulerson and Rinehart 1991)",-,"Tolerant of salt spray; tolerant of drought, waterlogging, salt spray, and wind (Elevitch & Thomson 2006)",na,-,Sea drift (Miryeganeh et al 2014),water,Vesicular-arbuscular mycorrhizal association in Malvaceae family (Smith & Smith 1997),-,
Tournefortia argentea,Boraginaceae,-,"hunig, hunik",native,"Tree, medium","limestone, strand","Edge, Coastal LS",-,"Can be grown from seed (Raulerson & Rinehart 1991); Collect mature (tranluscent, soft) fruits from the tree. Plant about 0.25"" deep, germination time is 2-4 weeks.Hard wood is recommended for cuttings as green wood may rot. Take 6-12 inch cutting, which will root in 3-6 weeks. (Tuquero et al 2017d)",Sandy or rocky coasts (Stone 1970),"Typically found on soils that are shallow, well drained, and of low fertility (deficient in iron, nitrogen, potassium, and trace elements); Prefers light- and medium-texture soils (sands,  sandy loams, loams, and sandy clay loams). Preferes neutral PH (6.1-7.4). Prefers light and medium texture sandy and loamy soils. It also tolerates shallow, saline, and infertile soils (Tuquero et al 2017b)",Can tolerate exposure,Low humidity (Tuquero et al 2017d),Wind and salt tolerant (Manner & Elevitch 2006; Tuquero et al 2017d),na,"Insect (bee, wasp, moth, butterfly) pollinated (Tuquero et al 2017d)",Sea drift (Nakanishi 1988; Raulerson & Rinehart 1991),water,Vesicular-arbuscular mycorrhizal association in Boraginaceae family (Smith & Smith 1997),Heliotrope moth Utetheisa pulchelloides (Raulerson & Rinehart 1991) and Euploa unice (Vogt & Williams 2004) larvae. ,
Pongamia pinnata,Leguminosae,Millettia pinnata (syn.); indian beech,-,native,Tree,limestone,Overstory,-,Can be grown from seed or cuttings (Raulerson & Rinehart 1991),"Beaches or rocky shores; or along rivers or on rocky headlands, seldom far from the sea (Stone 1970); occur near the clifflines of terraces above the sea (Raulerson & Rinehart 1991)","Tolerates saline conditions, alkalinity and waterlogged soil (Orwa et al 2009)",Can tolerate exposure (Raulerson & Rinehart 1991),-,-,na,-,Sea drift (Nakanishi 1988),water,Ectomycorrhiza and arbuscular myorrhizal fungi association in Leguminosae family (Newman & Reddell 1987),At risk of Phellinus noxius (Cannon et al 2014),
Sophora tomentosa,Leguminosae,"necklacepod sophora, silver bush",-,native,Shrub to small tree,"strand, coastal LS","Edge, Coastal LS",-,"Can be grown from seeds (Raulerson & Rinehart 1991). Collect seeds from mature fruits from the tree or the ground. Soaking seeds overnight may speed germination, which generally takes 1-2 months Plant no deeper than 0.4-0.6"" (Bucayu-Laurent et al 2017e).",Usually on sand (Stone 1970); Grows on rocks and terraces by the sea (Raulerson & Rinehart 1991),"Can be used to remediate degraded and salinized areas (Toma et al 2017). Tolerates neutral to calcareous (pH 7.2-8.4), moist, well-drained sandy or limestone soils (Bucayu-Laurent et al 2017e). ",Prefers full sun or light shade (Bucayu-Laurent et al 2017e). ,Tolerates low moisture (Bucayu-Laurent et al 2017e).,High salt and wind tolerance (Bucayu-Laurent 2017e),na,"Insect (bee, butterfly) pollinated (Bucayu-Laurent et al 2017e)",Sea drift (Nakanishi 1988),water,Sophora tomentosa is associated with both arbuscular mycorhizal fungi and nodulating nitrogen-fixing bacteria (Toma et al 2017); Likely ectomycorrhiza and arbuscular myorrhizal fungi association in Leguminosae family (Newman & Reddell 1987),Caterpillars and mealybugs are rare pests (Bucayu-Laurent et al 2017e).,
Volkameria inermis,Lamiaceae,Clerodendron inerme,lodugao,native,"Woody climber, sometimes shrubby (Stone 1970)","limestone, clay","Edge, canopy, sprawler",-,-,"""Common in Guam along the coasts or a little way inland"" (Stone 1970)",-,Seen in open areas (MK) ,-,-,-,-,Sea drift (Nakanishi 1988),water,-,-,
Terminalia catappa,Combretaceae,Pacific almond,talisai,native,"Tree, medium","strand, cultivated","Overstory, Edge",-,Easily grown from seed (Raulerson & Rinehart 1991),Strand plant (Raulersone and Rinehart 1991),"Salt-, drought- and wind-tolerant (Morton 1985); leaf chemistry and decomposition rates affected by beetle infestation (Marler 2018)",-,-,-,na,Bats may assist pollination (Wiles & Fujita 1992),Sea drift (Nakanishi 1988); bats (Wiles & Fujita 1992); Åga fond of seed kernels (Raulerson & Rinehart 1991; Stone 1970),vertebratenotspecified,Ectomycorrhiza association in Combretaceae family (Malloch et al 1980),"Phytoseius hawaiiensis and Parapronematus sp. mites founs in dematia pits (Pemberton & Turner, 1989), Leaf herbivory by Phytorus leaf beetle (Phytorus lineolatus Weise; Coleoptera: Chrysomelidae), a weevil (Trigonops vulgaris Zimmerman; Coleoptera: Curculionidae), and the Chinese rose beetle (Adoretus sinicus Burmeister; Coleoptera: Scarabaeidae) leading to ""shot-hole appearance"" (Marler 2018)",
Scaevola taccada,Goodeniaceae,"S. sericea (syn), half flower",Nanaso,native,Shrub,"limestone, clay","Edge, Cliffside, savanna",-,Can be grown by seeds and perhaps by cuttings (Raulerson & Rinehart 1991),"Rocky and sandy coasts, and interior savanna (Stone 1970)",Can grow on acidic savanna soil (Falaruw 1976),Tolerant of full sun,-,-,na,-,Sea drift (Nakanishi 1988); Såli (Pollock et al 2020); Åga (Faegre 2014); bats,endo,-,-,
Heritiera littoralis,Malvaceae,looking-glass tree,ufa,native,Tree,"limestone, estuarine","Overstory, emergent",-,Can be grown by seeds (Raulerson & Rinehart 1991),Edges of mangrove swamps and along tidal estuaries and muddy river banks (Stone 1970),-,Tolerates sun and shade,-,Tolerant of salt spray,-,-,Sea drift (Stone 1970; Raulerson & Rinehart 1991),water,Vesicular-arbuscular mycorrhizal association in Malvaceae family (Smith & Smith 1997),-,
Entada pursaetha,Fabaceae,large seabean,bayogon dangkulo,native,Woody vine,"limestone, clay","Edge, overstory, canopy",-,-,"""Widespread"" (Stone 1970)",-,-,-,-,-,-,Sea drift (Stone 1970),water,-,-,
Calophyllum inophyllum,Calophyllaceae,"palomaria, mastwood",daok,native,Tree,"limestone, clay, strand","Overstory, emergent, open areas, forest gaps","Open areas, forest gaps","Can be grown by seed (Raulerso & Rinehart, 1991); Grows best in direct sunlight, shelled seeds germinate faster than seeds in shells. Outplant when 20-30cm. tall (Friday & Okano 2006)","Limestone, clay, strand","Sandy, well drained soils, neutral to acid pH 7.4-4.0 (Friday & Okano 2006)",Tolerates full sun,,"Tolerant of salt spray, wind, drought, and occational flooding; mean annual temperature 64-91°F (Friday &Okano 2006)",,,Sea drift (Stone 1970); bats (Wiles & Fujita 1992),water,-,-,
